,Train_time,L1_training,L1_valid,MSE_T850,MSE_Z500,MSE_U850,MSE_V850,MSE_Q850,MSE_T2M,MSE_U10,MSE_V10,ACC_T850,ACC_Z500,ACC_T2M,ACC_U10,ACC_V10,Valid_time,Learning_Rate
140,711.985714,0.13457,0.15311,1.192,122.982,2.182,2.15,1.257,1.308,1.414,1.445,0.972,0.993,0.97,0.94,0.94,82.0017,0.0005
141,713.194189,0.13533,0.15166,1.235,116.675,2.19,2.17,1.254,1.316,1.425,1.459,0.97,0.994,0.969,0.94,0.939,81.58609,0.0005
142,712.449816,0.13416,0.15304,1.226,115.156,2.197,2.173,1.251,1.32,1.427,1.46,0.971,0.994,0.969,0.939,0.938,82.12556,0.0005
143,714.054621,0.13287,0.1533,1.233,120.755,2.196,2.168,1.246,1.299,1.424,1.457,0.971,0.994,0.97,0.94,0.939,82.02789,0.0005
144,715.624936,0.13283,0.15077,1.266,110.912,2.199,2.17,1.249,1.278,1.422,1.454,0.969,0.995,0.971,0.94,0.939,81.51375,0.0005
145,713.818901,0.13312,0.15042,1.196,113.855,2.199,2.172,1.249,1.306,1.427,1.46,0.972,0.994,0.97,0.939,0.939,81.52532,0.0005
146,715.275516,0.13405,0.14995,1.244,112.601,2.2,2.172,1.241,1.298,1.424,1.456,0.97,0.994,0.971,0.94,0.939,80.30573,0.0005
147,710.388998,0.13339,0.14875,1.177,110.427,2.201,2.175,1.231,1.251,1.425,1.46,0.973,0.995,0.972,0.94,0.939,82.78974,0.0005
148,723.118781,0.13475,0.15148,1.202,120.75,2.201,2.175,1.227,1.284,1.423,1.458,0.972,0.994,0.97,0.94,0.939,80.80721,0.0005
149,712.582296,0.13825,0.14926,1.202,111.982,2.205,2.176,1.233,1.262,1.425,1.458,0.972,0.995,0.972,0.94,0.939,81.925,0.0005
150,714.32905,0.14002,0.14903,1.191,109.901,2.207,2.178,1.228,1.277,1.424,1.459,0.973,0.995,0.971,0.939,0.939,82.22688,0.0005
151,711.50263,0.14244,0.14877,1.183,106.304,2.209,2.178,1.224,1.325,1.429,1.459,0.973,0.995,0.97,0.939,0.938,81.71983,0.0005
152,715.032591,0.1448,0.14784,1.173,104.5,2.208,2.177,1.228,1.233,1.427,1.46,0.973,0.995,0.973,0.939,0.939,81.56699,0.0005
153,714.987543,0.14977,0.14866,1.207,108.218,2.212,2.191,1.22,1.258,1.431,1.466,0.972,0.995,0.972,0.939,0.938,82.3088,0.0005
154,715.756393,0.15343,0.14798,1.194,108.043,2.21,2.177,1.215,1.259,1.428,1.456,0.973,0.995,0.972,0.939,0.939,81.90041,0.0005
